portion_id,food_type,area_cm2,height_cm,volume_ml,weight_g,density_g_per_ml
apple001,apple,72.234,7.669,310.0,244.5,0.7887
apple002,apple,63.708,7.368,290.0,232.5,0.8017
apple003,apple,65.531,6.786,280.0,219.0,0.7821
apple004,apple,68.88,7.541,300.0,234.0,0.78
apple005,apple,74.931,7.76,280.0,212.5,0.7589
apple006,apple,70.104,7.623,290.0,238.0,0.8207
apple007,apple,84.256,7.792,420.0,325.0,0.7738
apple008,apple,79.904,7.305,300.0,238.0,0.7933
apple009,apple,80.634,8.704,360.0,288.5,0.8014
apple010,apple,77.023,7.664,330.0,260.5,0.7894
apple011,apple,75.101,6.912,310.0,230.0,0.7419
apple012,apple,68.41,7.305,310.0,246.0,0.7935
apple013,apple,63.286,7.574,350.0,252.5,0.7214
apple014,apple,61.636,7.259,290.0,236.0,0.8138
apple015,apple,87.737,7.5,390.0,293.5,0.7526
apple016,apple,75.785,7.43,330.0,272.5,0.8258
apple017,apple,110.505,6.701,330.0,255.0,0.7727
apple018,apple,76.029,6.769,290.0,231.5,0.7983
apple019,apple,71.169,8.796,300.0,255.0,0.85
banana001,banana,83.974,3.981,150.0,149.8,0.9987
banana002,banana,173.502,4.515,170.0,156.9,0.9229
banana003,banana,60.577,3.283,150.0,139.0,0.9267
banana004,banana,151.296,4.444,200.0,159.6,0.798
banana005,banana,200.531,2.628,150.0,153.5,1.0233
banana006,banana,170.453,3.377,150.0,144.0,0.96
banana007,banana,133.067,3.881,150.0,141.4,0.9427
banana008,banana,115.808,3.033,170.0,155.1,0.9124
banana009,banana,98.139,3.31,210.0,183.5,0.8738
banana010,banana,80.537,2.936,190.0,173.5,0.9132
banana011,banana,89.914,3.229,130.0,128.3,0.9869
banana012,banana,58.036,2.857,140.0,117.1,0.8364
banana013,banana,117.878,3.22,190.0,160.1,0.8426
banana014,banana,85.646,3.365,170.0,157.0,0.9235
banana015,banana,135.551,3.875,170.0,164.8,0.9694
bread001,bread,100.954,2.663,140.0,26.6,0.19
bread002,bread,102.954,3.342,150.0,28.8,0.192
bread003,bread,119.996,2.5,160.0,26.0,0.1625
bread004,bread,101.91,3.125,170.0,27.7,0.1629
bread005,bread,97.192,2.146,170.0,26.4,0.1553
bread006,bread,98.556,1.952,140.0,28.4,0.2029
bread007,bread,115.93,2.99,140.0,33.0,0.2357
bun001,bun,57.238,6.483,210.0,80.4,0.3829
bun002,bun,92.848,5.035,230.0,93.6,0.407
bun003,bun,93.616,6.139,270.0,93.2,0.3452
bun004,bun,93.66,6.791,270.0,83.9,0.3107
bun005,bun,77.635,6.725,210.0,69.1,0.329
bun006,bun,86.815,4.824,260.0,78.3,0.3012
bun007,bun,80.66,5.149,260.0,84.4,0.3246
bun008,bun,52.319,4.375,200.0,69.5,0.3475
doughnut001,doughnut,80.963,3.106,170.0,49.0,0.2882
doughnut002,doughnut,72.571,3.581,220.0,65.6,0.2982
doughnut003,doughnut,76.156,3.9,220.0,67.1,0.305
doughnut004,doughnut,80.716,3.309,200.0,62.5,0.3125
doughnut005,doughnut,91.639,3.47,220.0,64.4,0.2927
doughnut006,doughnut,87.537,3.979,160.0,66.2,0.4138
doughnut007,doughnut,75.577,3.514,190.0,52.4,0.2758
doughnut008,doughnut,77.084,3.4,170.0,54.7,0.3218
doughnut009,doughnut,86.535,0.865,180.0,50.6,0.2811
egg001,egg,17.852,3.885,50.0,57.0,1.14
egg003,egg,23.332,4.312,50.0,54.5,1.09
egg004,egg,19.583,4.467,50.0,59.2,1.184
egg005,egg,20.0,4.2,50.0,59.5,1.19
egg006,egg,35.686,4.437,50.0,57.0,1.14
egg007,egg,33.112,4.813,60.0,68.9,1.1483
fired_dough_twist001,fired_dough_twist,46.089,4.058,60.0,37.8,0.63
fired_dough_twist002,fired_dough_twist,34.823,4.513,70.0,45.9,0.6557
fired_dough_twist003,fired_dough_twist,35.656,2.317,80.0,41.7,0.5212
fired_dough_twist004,fired_dough_twist,34.126,3.924,60.0,39.6,0.66
fired_dough_twist005,fired_dough_twist,33.541,3.388,90.0,45.1,0.5011
fired_dough_twist006,fired_dough_twist,28.657,2.75,50.0,40.2,0.804
fired_dough_twist007,fired_dough_twist,41.03,4.267,60.0,38.4,0.64
grape001,grape,121.105,10.152,450.0,448.0,0.9956
grape002,grape,78.085,6.308,240.0,219.5,0.9146
lemon001,lemon,33.803,4.683,100.0,94.2,0.942
lemon002,lemon,33.939,5.25,100.0,97.5,0.975
lemon003,lemon,36.517,5.192,90.0,92.3,1.0256
lemon004,lemon,36.91,5.125,100.0,90.1,0.901
litchi001,litchi,16.905,4.234,40.0,38.4,0.96
litchi002,litchi,23.216,4.205,40.0,39.8,0.995
litchi003,litchi,25.54,4.385,50.0,51.5,1.03
litchi004,litchi,19.614,4.615,40.0,40.9,1.0225
litchi005,litchi,30.501,3.979,40.0,39.0,0.975
mango001,mango,58.155,5.735,180.0,192.3,1.0683
mango002,mango,49.062,4.25,130.0,150.5,1.1577
mango003,mango,50.606,4.942,200.0,203.0,1.015
mango004,mango,23.351,3.269,60.0,55.1,0.9183
mango005,mango,31.099,3.409,50.0,68.3,1.366
mango006,mango,48.0,3.657,90.0,87.6,0.9733
mango007,mango,32.86,3.294,50.0,70.9,1.418
mango008,mango,38.209,3.694,110.0,99.7,0.9064
mango009,mango,39.541,4.29,80.0,86.2,1.0775
mango010,mango,56.138,4.016,90.0,104.3,1.1589
mooncake001,mooncake,21.541,2.5,40.0,39.9,0.9975
mooncake002,mooncake,33.251,2.578,30.0,43.8,1.46
mooncake003,mooncake,24.446,2.792,40.0,45.1,1.1275
mooncake004,mooncake,19.552,2.654,40.0,41.8,1.045
mooncake005,mooncake,25.195,2.687,60.0,47.3,0.7883
mooncake006,mooncake,47.741,3.016,150.0,126.0,0.84
orange001,orange,62.748,6.534,160.0,220.5,1.3781
orange002,orange,72.612,7.026,280.0,197.9,0.7068
orange003,orange,56.103,6.375,210.0,202.5,0.9643
orange004,orange,65.799,7.742,260.0,218.0,0.8385
orange005,orange,44.163,6.861,150.0,138.9,0.926
orange006,orange,51.222,6.453,200.0,179.3,0.8965
orange007,orange,59.932,6.196,220.0,184.8,0.84
orange008,orange,76.538,6.653,270.0,232.5,0.8611
orange009,orange,52.703,6.985,220.0,209.5,0.9523
orange010,orange,60.729,7.817,260.0,234.0,0.9
orange011,orange,71.008,7.734,250.0,222.0,0.888
orange012,orange,48.755,8.418,200.0,177.3,0.8865
orange013,orange,46.868,6.354,190.0,162.3,0.8542
orange014,orange,50.555,6.429,160.0,167.5,1.0469
orange015,orange,44.933,5.758,130.0,179.7,1.3823
peach001,peach,33.963,5.615,100.0,103.8,1.038
peach002,peach,44.63,5.395,110.0,105.8,0.9618
peach003,peach,37.247,5.304,110.0,108.1,0.9827
peach004,peach,35.734,5.079,90.0,96.2,1.0689
peach005,peach,52.328,6.111,150.0,158.5,1.0567
pear001,pear,58.652,7.582,260.0,249.0,0.9577
pear002,pear,53.848,6.715,210.0,205.5,0.9786
pear003,pear,68.355,6.952,290.0,280.0,0.9655
pear004,pear,58.241,7.154,260.0,247.0,0.95
pear005,pear,62.985,7.4,200.0,197.5,0.9875
pear006,pear,60.677,6.531,230.0,200.5,0.8717
plum001,plum,46.118,5.519,150.0,151.8,1.012
plum002,plum,23.986,4.722,100.0,90.7,0.907
plum003,plum,29.964,3.75,100.0,103.3,1.033
plum004,plum,43.027,5.0,100.0,106.9,1.069
qiwi001,qiwi,50.341,5.616,180.0,154.4,0.8578
qiwi002,qiwi,54.386,5.857,150.0,154.9,1.0327
qiwi003,qiwi,39.962,6.385,170.0,144.6,0.8506
qiwi004,qiwi,51.4,5.797,180.0,185.8,1.0322
qiwi005,qiwi,45.242,5.548,190.0,196.0,1.0316
qiwi006,qiwi,33.79,5.067,120.0,127.5,1.0625
qiwi007,qiwi,49.642,3.088,160.0,152.2,0.9512
qiwi008,qiwi,20.083,3.79,50.0,52.1,1.042
sachima001,sachima,69.714,3.065,170.0,37.6,0.2212
sachima002,sachima,57.664,3.75,150.0,32.9,0.2193
sachima003,sachima,2.767,3.188,140.0,29.0,0.2071
sachima004,sachima,3.742,3.75,150.0,33.4,0.2227
sachima005,sachima,60.062,2.957,150.0,32.7,0.218
tomato001,tomato,71.226,5.0,210.0,214.5,1.0214
tomato002,tomato,42.678,4.623,190.0,154.2,0.8116
tomato003,tomato,58.812,4.766,180.0,186.4,1.0356
tomato004,tomato,45.084,4.931,160.0,173.4,1.0837
