dish_id,food_class,area_cm2,long_cm,short_cm,total_mass_g,total_kcal,total_fat_g,total_carb_g,total_protein_g
dish_1567020340,broccoli,54.809,10.115,7.86,168.0,93.59,4.75,11.47,3.93
dish_1564690038,lentils,49.767,7.495,7.014,81.0,92.34,0.32,16.2,7.29
dish_1558640808,carrot,33.46,9.651,7.843,26.0,10.66,0.05,2.6,0.23
dish_1558719570,apple,38.535,9.352,7.81,143.0,74.36,0.29,20.02,0.43
dish_1568047932,broccoli,49.598,7.677,6.599,55.0,30.64,1.56,3.76,1.29
dish_1558641200,carrot,42.777,9.203,7.793,8.0,3.28,0.02,0.8,0.07
dish_1561578775,pizza,53.794,7.694,7.511,111.0,295.15,10.43,37.19,12.43
dish_1562875159,pizza,57.541,7.976,7.76,98.0,260.68,9.51,32.34,10.78
dish_1560798656,pizza,10.638,7.86,1.36,108.0,287.17,10.15,36.18,12.1
dish_1566937992,pizza,57.892,8.987,7.843,104.0,276.54,9.78,34.84,11.65
dish_1560529804,watermelon,31.304,5.936,5.903,51.0,15.3,0.1,3.88,0.31
dish_1557863056,avocado,46.959,7.677,6.168,47.0,75.2,7.05,4.23,0.94
dish_1561741139,bacon,43.428,9.932,7.876,20.0,108.2,8.4,0.28,7.4
dish_1560799277,pizza,10.606,7.926,1.343,73.0,111.02,3.73,14.73,4.93
dish_1558639440,apple,31.17,6.351,6.334,116.0,60.32,0.23,16.24,0.35
dish_1562614088,broccoli,54.103,7.893,7.594,67.0,23.45,0.27,4.69,1.61
dish_1565711115,bacon,59.06,8.059,7.76,308.0,321.53,14.41,2.39,39.71
dish_1558630176,apple,31.944,9.269,7.744,142.0,73.84,0.28,19.88,0.43
dish_1563220087,broccoli,55.503,7.694,7.644,98.0,162.74,6.42,19.86,7.34
dish_1562775241,oatmeal,51.259,8.506,7.909,220.0,140.36,2.16,28.08,3.85
dish_1562774980,oatmeal,24.388,7.926,3.084,201.0,136.68,2.81,24.12,4.82
dish_1566589933,tofu,15.232,7.943,1.973,122.0,89.06,5.86,2.32,9.76
dish_1558719066,apple,40.856,10.231,7.843,142.0,73.84,0.28,19.88,0.43
dish_1560443474,pineapple,58.239,7.71,7.694,317.0,172.78,0.72,43.25,1.99
dish_1558636483,apple,31.26,9.551,7.793,154.0,80.08,0.31,21.56,0.46
dish_1566838286,pineapple,15.406,7.943,1.99,145.0,72.5,0.14,18.85,0.72
dish_1565369938,bacon,57.115,7.943,7.827,31.0,167.71,13.02,0.43,11.47
dish_1561567086,watermelon,45.632,8.921,7.876,181.0,142.75,0.36,34.25,2.03
dish_1561577119,tofu,53.411,7.827,7.296,78.0,128.31,5.45,13.17,7.42
dish_1558725760,apple,50.131,10.529,7.81,161.0,83.72,0.32,22.54,0.48
dish_1565641844,pizza,53.64,7.777,7.594,92.0,244.63,8.65,30.82,10.3
dish_1565123783,pizza,54.552,7.76,7.545,35.0,93.06,3.29,11.72,3.92
dish_1558724766,apple,37.537,10.181,7.86,161.0,83.72,0.32,22.54,0.48
dish_1558640781,apple,33.201,9.75,7.793,154.0,80.08,0.31,21.56,0.46
dish_1566849233,avocado,36.505,7.379,6.633,117.0,94.8,7.33,7.94,2.48
dish_1558636763,apple,34.321,9.601,7.81,117.0,60.84,0.23,16.38,0.35
dish_1565036788,pizza,54.635,8.606,7.86,70.0,186.13,6.58,23.45,7.84
dish_1566333118,pizza,57.052,9.236,7.86,90.0,239.31,8.46,30.15,10.08
dish_1561392734,watermelon,31.954,6.284,5.804,198.0,84.24,0.49,20.94,1.28
dish_1564503219,bacon,55.979,7.843,7.76,242.0,213.86,8.01,1.82,29.06
dish_1562009810,white_rice,57.789,8.059,7.744,108.0,119.88,0.97,24.84,2.81
dish_1563216381,broccoli,58.415,8.191,7.876,99.0,34.65,0.4,6.93,2.38
dish_1559846825,pizza,59.078,7.926,7.793,95.0,252.7,9.21,31.35,10.45
dish_1568665935,pizza,55.734,7.86,7.545,58.0,154.22,5.45,19.43,6.5
dish_1563464429,bacon,52.457,9.833,7.86,103.0,140.99,7.4,12.28,6.89
dish_1558028057,bacon,44.576,8.954,7.843,28.0,151.48,11.76,0.39,10.36
dish_1561148303,pizza,48.003,8.656,7.876,45.0,119.65,4.23,15.08,5.04
dish_1558468632,chicken_breast,51.624,9.286,7.76,103.0,169.95,3.71,0.0,31.93
dish_1564688969,pizza,14.597,7.909,1.89,90.0,239.31,8.46,30.15,10.08
dish_1558545738,apple,58.199,10.314,7.909,142.0,73.84,0.28,19.88,0.43
dish_1558381143,sausage,47.933,9.634,7.694,53.0,182.64,14.47,2.23,10.23
dish_1562009098,tofu,14.175,7.893,1.923,96.0,70.08,4.61,1.82,7.68
dish_1558638163,carrot,33.714,9.07,7.727,99.0,40.59,0.2,9.9,0.89
dish_1558630867,apple,38.822,10.43,7.793,142.0,73.84,0.28,19.88,0.43
dish_1558719377,apple,31.205,9.684,7.793,142.0,73.84,0.28,19.88,0.43
dish_1559061675,watermelon,47.379,9.136,7.843,83.0,24.9,0.17,6.31,0.5
dish_1564159520,bacon,48.383,7.876,7.81,42.0,227.22,17.64,0.59,15.54
dish_1558459945,apple,51.407,9.717,7.677,142.0,73.84,0.28,19.88,0.43
dish_1564502063,bacon,44.839,9.203,7.727,92.0,497.72,38.64,1.29,34.04
dish_1559233627,bacon,30.649,5.82,5.688,12.0,64.92,5.04,0.17,4.44
dish_1558724723,broccoli,42.166,7.677,7.097,112.0,39.2,0.45,7.84,2.69
dish_1564086624,pizza,52.143,7.793,7.727,131.0,217.29,6.57,34.46,8.03
dish_1564588483,sausage,41.587,9.468,7.81,51.0,175.75,13.92,2.14,9.84
dish_1558721904,apple,41.918,10.43,7.827,143.0,74.36,0.29,20.02,0.43
dish_1559245848,orange,30.516,6.699,6.616,127.0,59.69,0.13,15.24,1.14
dish_1562950895,sweet_potato,57.395,8.092,7.594,144.0,137.82,3.51,25.29,1.4
dish_1558110335,bacon,43.578,9.717,7.694,7.0,37.87,2.94,0.1,2.59
dish_1562689548,pineapple,50.758,9.684,7.81,267.0,216.54,7.53,18.1,19.5
dish_1562860700,pineapple,30.763,5.986,5.704,47.0,23.5,0.05,6.11,0.23
dish_1565711083,bacon,43.138,8.921,7.727,33.0,178.53,13.86,0.46,12.21
dish_1559319971,sweet_potato,35.141,9.07,7.777,96.0,72.96,0.0,17.28,0.96
dish_1558639138,carrot,31.155,6.649,6.202,54.0,22.14,0.11,5.4,0.49
dish_1561577549,pizza,57.526,8.108,7.545,49.0,130.34,4.75,16.17,5.39
dish_1565641885,pizza,45.484,9.418,7.81,139.0,254.22,8.7,32.65,11.34
dish_1558029278,bacon,31.926,9.468,7.677,27.0,146.07,11.34,0.38,9.99
dish_1558640450,apple,42.817,10.397,7.843,154.0,80.08,0.31,21.56,0.46
dish_1558724891,apple,37.993,10.065,7.827,161.0,83.72,0.32,22.54,0.48
dish_1558629677,apple,37.118,8.954,7.843,142.0,73.84,0.28,19.88,0.43
dish_1566838317,watermelon,15.306,7.959,1.973,284.0,114.2,0.42,29.41,1.56
dish_1564083480,chicken_breast,49.985,7.727,7.694,133.0,259.7,18.26,2.43,21.99
dish_1564503184,bacon,56.727,7.876,7.777,18.0,97.38,7.56,0.25,6.66
dish_1558722207,apple,45.701,10.015,7.744,160.0,83.2,0.32,22.4,0.48
dish_1560270537,pineapple,33.408,6.5,6.003,48.0,24.0,0.05,6.24,0.24
dish_1559585533,broccoli,32.549,6.168,5.721,37.0,12.95,0.15,2.59,0.89
dish_1559841979,broccoli,35.469,9.02,7.76,85.0,39.29,0.29,9.13,1.19
dish_1566328745,chicken_breast,51.707,7.827,6.964,203.0,282.03,6.08,1.4,52.09
dish_1562183065,mushroom,54.799,7.744,7.677,75.0,16.5,0.23,2.48,2.33
dish_1568666230,salad,41.572,8.772,7.876,268.0,55.8,0.69,10.97,4.53
dish_1568044496,watermelon,58.474,9.319,7.793,118.0,35.4,0.24,8.97,0.71
dish_1561392710,watermelon,43.351,8.523,7.893,106.0,31.8,0.21,8.06,0.64
dish_1558027164,bacon,32.409,5.969,5.787,30.0,162.3,12.6,0.42,11.1
dish_1561481606,bacon,58.512,8.224,7.926,141.0,354.09,26.98,2.18,24.09
dish_1564518454,pizza,53.44,7.71,7.594,62.0,164.86,5.83,20.77,6.94
dish_1563897087,broccoli,52.819,8.473,7.926,231.0,102.44,0.67,8.17,15.2
dish_1558640614,apple,48.874,9.568,7.727,116.0,60.32,0.23,16.24,0.35
dish_1563294987,bacon,59.117,8.274,7.893,18.0,97.38,7.56,0.25,6.66
dish_1561392410,sausage,33.617,6.583,5.82,84.0,187.3,14.05,4.45,10.63
dish_1565117892,tuna,50.623,7.71,7.13,102.0,132.6,0.61,0.0,29.58
dish_1563294408,pineapple,14.887,7.893,1.923,83.0,41.5,0.08,10.79,0.41
dish_1563897870,oatmeal,47.889,8.274,7.876,249.0,169.32,3.49,29.88,5.98
dish_1562871297,pizza,46.204,7.81,7.694,47.0,124.97,4.42,15.75,5.26
dish_1562700685,mushroom,57.951,8.026,7.677,110.0,24.2,0.33,3.63,3.41
dish_1563475788,pineapple,56.816,7.81,7.694,78.0,39.0,0.08,10.14,0.39
dish_1564000417,pizza,54.889,7.843,7.677,128.0,340.35,12.03,42.88,14.34
dish_1558457415,sweet_potato,54.45,9.136,7.71,80.0,60.8,0.0,14.4,0.8
dish_1566419510,pizza,57.066,9.12,7.827,103.0,273.88,9.68,34.51,11.54
dish_1558029686,bacon,33.953,6.185,6.069,22.0,119.02,9.24,0.31,8.14
dish_1561392386,sausage,36.055,7.064,6.102,51.0,175.75,13.92,2.14,9.84
dish_1558641007,carrot,31.235,6.284,6.003,57.0,23.37,0.11,5.7,0.51
dish_1559059924,bacon,31.702,6.384,5.671,20.0,108.2,8.4,0.28,7.4
dish_1559239912,orange,38.937,10.347,7.876,128.0,60.16,0.13,15.36,1.15
dish_1561393715,broccoli,58.667,7.992,7.744,49.0,17.15,0.2,3.43,1.18
dish_1562085132,bacon,37.819,7.014,6.384,17.0,91.97,7.14,0.24,6.29
dish_1562602589,sausage,45.313,8.656,7.909,106.0,365.28,28.94,4.45,20.46
dish_1558114484,bacon,42.661,9.899,7.777,28.0,151.48,11.76,0.39,10.36
dish_1563389548,chicken_breast,21.92,9.966,7.926,194.0,438.83,28.91,0.19,43.84
dish_1558639526,carrot,31.88,9.651,7.876,78.0,31.98,0.16,7.8,0.7
dish_1558116436,bacon,44.951,9.584,7.793,17.0,91.97,7.14,0.24,6.29
dish_1567625294,avocado,14.567,7.909,1.89,32.0,51.2,4.8,2.88,0.64
dish_1564169644,pizza,48.957,8.772,7.909,163.0,433.42,15.32,54.6,18.26
dish_1558640941,carrot,33.885,7.114,5.936,53.0,21.73,0.11,5.3,0.48
dish_1563305513,pizza,54.3,7.81,7.13,228.0,606.25,21.43,76.38,25.54
dish_1567110756,pizza,14.655,7.909,1.907,42.0,111.72,4.07,13.86,4.62
dish_1561393741,broccoli,15.569,7.909,2.056,165.0,188.83,12.96,5.29,12.78
dish_1562703345,pizza,58.928,8.656,7.909,58.0,154.28,5.63,19.14,6.38
dish_1565884738,watermelon,55.903,7.578,7.528,463.0,228.66,0.93,7.04,41.13
dish_1559239256,orange,44.001,9.551,7.727,128.0,60.16,0.13,15.36,1.15
dish_1558115169,bacon,51.096,9.369,7.793,28.0,151.48,11.76,0.39,10.36
dish_1560357297,sausage,44.232,10.015,7.793,492.0,942.45,71.89,10.71,59.34
dish_1563913588,pizza,58.349,8.142,7.76,68.0,180.81,6.39,22.78,7.62
dish_1563900120,sweet_potato,43.522,8.523,7.843,49.0,46.9,1.2,8.6,0.48
dish_1563218201,chicken_breast,15.104,7.926,1.94,156.0,352.87,23.24,0.16,35.26
dish_1563898688,broccoli,14.668,7.909,1.907,93.0,32.55,0.37,6.51,2.23
dish_1564590115,sweet_potato,53.372,8.009,7.462,121.0,115.81,2.95,21.25,1.18
dish_1558381840,chicken_breast,52.201,9.733,7.677,69.0,113.85,2.48,0.0,21.39
dish_1563395341,pizza,52.912,7.76,7.511,54.0,143.59,5.08,18.09,6.05
dish_1561405332,broccoli,55.414,7.694,7.644,53.0,18.55,0.21,3.71,1.27
dish_1560798707,broccoli,52.495,7.909,7.793,139.0,298.02,10.28,38.35,12.84
dish_1565637504,pineapple,48.529,7.561,6.915,56.0,28.0,0.06,7.28,0.28
dish_1559674074,pizza,40.591,8.622,7.694,53.0,140.98,5.14,17.49,5.83
dish_1560527745,yogurt,55.892,8.39,7.876,149.0,87.76,0.6,5.36,14.9
dish_1562871363,white_rice,55.637,10.032,7.876,140.0,245.87,4.7,41.79,7.78
dish_1563295016,bacon,53.736,8.291,7.909,79.0,127.88,7.62,8.18,6.96
dish_1558639306,carrot,32.907,6.749,6.417,99.0,40.59,0.2,9.9,0.89
dish_1558373008,sausage,52.529,9.767,7.744,73.0,251.56,19.93,3.07,14.09
dish_1563566909,white_rice,14.584,7.926,1.89,187.0,222.53,0.75,46.75,9.35
dish_1564675060,watermelon,56.687,7.86,7.611,77.0,23.1,0.15,5.85,0.46
dish_1558640604,apple,34.642,9.568,7.744,117.0,60.84,0.23,16.38,0.35
dish_1567629081,pizza,55.576,8.954,7.876,90.0,239.31,8.46,30.15,10.08
dish_1563216412,white_rice,49.42,9.236,7.926,205.0,172.45,0.71,36.61,5.24
dish_1559233445,pineapple,31.393,9.584,7.76,49.0,24.5,0.05,6.37,0.24
dish_1562168365,pineapple,53.238,8.075,7.13,140.0,70.0,0.14,18.2,0.7
dish_1566488905,sweet_potato,53.426,7.827,7.147,86.0,82.31,2.1,15.1,0.84
dish_1558721272,carrot,36.185,10.38,7.81,72.0,29.52,0.14,7.2,0.65
dish_1563464389,bacon,55.651,8.821,7.86,17.0,91.97,7.14,0.24,6.29
dish_1559843492,broccoli,35.56,9.004,7.76,95.0,31.71,0.3,7.42,0.97
dish_1559841950,broccoli,36.652,9.087,7.76,32.0,11.2,0.13,2.24,0.77
dish_1558639849,carrot,37.133,6.915,5.953,57.0,23.37,0.11,5.7,0.51
dish_1560788384,yogurt,55.294,10.131,7.81,242.0,111.2,0.85,14.04,12.95
dish_1559846504,broccoli,44.06,9.02,7.793,233.0,126.17,0.33,32.79,1.57
dish_1560444701,watermelon,58.612,7.893,7.793,170.0,51.0,0.34,12.92,1.02
dish_1565799507,sweet_potato,53.748,7.992,7.346,78.0,74.65,1.9,13.7,0.76
dish_1566414611,chicken_breast,57.111,7.793,7.777,64.0,105.6,2.3,0.0,19.84
dish_1559149615,bacon,33.398,9.054,7.71,23.0,124.43,9.66,0.32,8.51
dish_1565195362,sweet_potato,49.905,8.838,7.677,103.0,98.58,2.51,18.09,1.0
dish_1564605293,pizza,54.004,7.677,7.511,152.0,404.17,14.29,50.92,17.02
dish_1558638137,apple,40.601,10.065,7.827,117.0,60.84,0.23,16.38,0.35
dish_1563389600,chicken_breast,14.711,7.893,1.923,264.0,451.43,29.05,2.92,44.47
dish_1558633158,carrot,31.705,6.135,5.638,85.0,34.85,0.17,8.5,0.77
dish_1564086602,pizza,54.048,7.76,7.611,49.0,130.29,4.61,16.42,5.49
dish_1567024066,pizza,55.137,7.727,7.628,86.0,228.67,8.08,28.81,9.63
dish_1562173381,sausage,43.783,10.015,7.926,113.0,389.4,30.85,4.75,21.81
dish_1565797645,watermelon,52.467,7.561,7.246,70.0,21.0,0.14,5.32,0.42
dish_1558629878,apple,35.541,10.364,7.744,142.0,73.84,0.28,19.88,0.43
dish_1557862345,chicken_breast,51.09,7.81,6.566,63.0,103.95,2.27,0.0,19.53
dish_1558641926,apple,32.131,9.518,7.744,154.0,80.08,0.31,21.56,0.46
dish_1562689601,broccoli,58.589,8.009,7.677,37.0,20.61,1.05,2.53,0.87
dish_1562775456,sweet_potato,56.081,7.727,7.644,66.0,50.16,0.0,11.88,0.66
dish_1558722398,apple,43.032,10.048,7.843,161.0,83.72,0.32,22.54,0.48
dish_1558640039,carrot,34.066,7.677,6.915,98.0,40.18,0.2,9.8,0.88
dish_1562949162,bacon,41.414,8.772,7.86,12.0,64.92,5.04,0.17,4.44
dish_1562173742,bacon,51.959,8.689,7.893,15.0,81.15,6.3,0.21,5.55
dish_1560787754,bacon,52.908,7.81,7.744,68.0,72.64,3.12,8.64,3.02
dish_1559578579,bacon,36.099,9.004,7.793,78.0,142.58,9.82,4.72,8.89
dish_1563897837,watermelon,43.014,8.573,7.893,304.0,118.47,0.71,29.57,1.93
dish_1561666761,pizza,47.62,7.594,6.964,43.0,114.34,4.04,14.41,4.82
dish_1562777566,toast,57.234,8.407,7.926,84.0,263.0,3.53,46.62,10.92
dish_1563466280,bacon,48.197,8.954,7.86,66.0,357.06,27.72,0.92,24.42
dish_1558030910,bacon,32.836,5.969,5.886,15.0,81.15,6.3,0.21,5.55
dish_1563568263,pizza,53.902,7.727,7.694,45.0,119.65,4.23,15.08,5.04
dish_1561575908,pizza,59.064,8.341,7.909,40.0,106.36,3.76,13.4,4.48
dish_1563305689,mushroom,53.106,8.954,6.964,161.0,30.14,0.35,4.74,4.07
dish_1558635523,white_rice,42.904,9.004,7.843,43.0,55.9,0.13,12.04,1.16
dish_1558377105,sausage,49.498,10.082,7.793,113.0,389.4,30.85,4.75,21.81
dish_1568061097,pizza,57.371,7.959,7.86,55.0,146.24,5.17,18.43,6.16
dish_1560799558,pizza,26.886,10.231,7.81,74.0,196.84,7.18,24.42,8.14
dish_1563295334,bacon,55.697,8.573,7.959,96.0,228.54,17.38,1.49,15.54
dish_1572464692,hummus,41.159,7.329,6.765,56.0,0.0,0.0,0.0,0.0
dish_1571931457,sausage,35.009,7.047,6.616,44.0,0.0,0.0,0.0,0.0
dish_1574702473,bacon,56.125,9.949,7.926,161.0,0.0,0.0,0.0,0.0
dish_1571935895,oatmeal,31.529,7.893,4.759,222.0,0.0,0.0,0.0,0.0
dish_1571932375,sausage,29.645,6.202,5.853,117.0,0.0,0.0,0.0,0.0
dish_1575481406,sausage,41.81,9.75,7.893,27.0,0.0,0.0,0.0,0.0
dish_1572278943,bacon,25.955,7.793,3.93,96.0,0.0,0.0,0.0,0.0
dish_1572453675,sausage,40.06,7.594,6.798,38.0,0.0,0.0,0.0,0.0
dish_1573232835,bacon,58.467,8.971,7.926,27.0,0.0,0.0,0.0,0.0
dish_1573234760,bacon,29.903,6.583,5.953,21.0,0.0,0.0,0.0,0.0
dish_1574443257,bacon,57.718,8.739,7.793,160.0,0.0,0.0,0.0,0.0
dish_1573579406,bacon,47.108,10.314,7.893,110.0,0.0,0.0,0.0,0.0
dish_1574098164,bacon,56.134,10.264,7.959,42.0,0.0,0.0,0.0,0.0
dish_1571932448,oatmeal,16.468,5.671,3.648,334.0,0.0,0.0,0.0,0.0
dish_1575923584,pasta,50.015,7.943,7.777,224.0,0.0,0.0,0.0,0.0
dish_1572889747,bacon,39.962,6.699,6.55,39.0,0.0,0.0,0.0,0.0
dish_1572278894,bacon,42.313,7.379,7.196,61.0,0.0,0.0,0.0,0.0
dish_1573579355,bacon,53.748,10.38,7.943,36.0,0.0,0.0,0.0,0.0
dish_1575923893,pasta,32.685,7.827,5.721,115.0,0.0,0.0,0.0,0.0
dish_1574097587,bacon,27.221,6.898,5.787,118.0,0.0,0.0,0.0,0.0
dish_1576258613,bacon,37.721,7.528,6.765,35.0,0.0,0.0,0.0,0.0
dish_1575307845,bacon,44.631,10.115,7.827,143.0,0.0,0.0,0.0,0.0
dish_1571932341,sausage,33.644,7.943,4.858,45.0,0.0,0.0,0.0,0.0
dish_1574357682,sausage,27.839,6.251,5.936,68.0,0.0,0.0,0.0,0.0
dish_1573232405,bacon,50.083,10.181,7.959,36.0,0.0,0.0,0.0,0.0
